Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,1uF,
C3,0805,1,1uF,
"C4, C5",0402,2,10uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",Diode_SOD-123,16,D,
D17,1206,1,Charging,C2298
D18,1206,1,Fully Charged,C2298
D33,D_SMA,1,SS14,
J1,OLED_128x64,1,OLED_128x64,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery JST-PH,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
"L1, L10, L11, L12, L13, L14, L15, L16, L2, L3, L4, L5, L6, L7, L8, L9",SK6812MINI-E_fixed,16,SK6812,
Q1,SOT-23,1,AO3401A,
R1,0805,1,2.4k,
"R10, R8",0402,2,100k,
"R11, R12, R9",0402,3,10k,
"R13, R14",0402,2,4.7k,
"R2, R3",0805,2,1k,
"R4, R5",0805,2,100k,
"R6, R7",0805,2,5.1k,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,16,SW_Push_45deg,
SW17,CL-SB-23A-11T,1,SW_DP3T,
SW18,SW_PUSH_6mm,1,Reset,C42416254
SW19,SW_PUSH_6mm,1,Boot,C42416254
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,C16581
U3,SOT-23-5,1,AP2112K-3.3,C23380830
